INFO:root:Epoch 18: {'accuracy': 0.5548007488250732, 'loss': 1.0626956224441528, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0804142951965332}
INFO:root:Epoch 19: {'accuracy': 0.5548007488250732, 'loss': 1.0628870725631714, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.075904130935669}
INFO:root:Epoch 20: {'accuracy': 0.5538949370384216, 'loss': 1.0610511302947998, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0746791362762451}
INFO:root:Epoch 21: {'accuracy': 0.55027174949646, 'loss': 1.0640830993652344, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.077991008758545}
INFO:root:Epoch 22: {'accuracy': 0.5525362491607666, 'loss': 1.0620414018630981, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0774327516555786}
INFO:root:Epoch 23: {'accuracy': 0.5520833134651184, 'loss': 1.0622385740280151, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0759317874908447}
INFO:root:Epoch 24: {'accuracy': 0.5575181245803833, 'loss': 1.0598316192626953, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.071794033050537}
INFO:root:Epoch 25: {'accuracy': 0.5525362491607666, 'loss': 1.0620228052139282, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.0780062675476074}
INFO:root:Epoch 26: {'accuracy': 0.5570651888847351, 'loss': 1.0631506443023682, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.077142357826233}
INFO:root:Epoch 27: {'accuracy': 0.5534420013427734, 'loss': 1.061718463897705, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0770245790481567}
INFO:root:Epoch 28: {'accuracy': 0.5520833134651184, 'loss': 1.0590853691101074, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.0784906148910522}
INFO:root:Epoch 29: {'accuracy': 0.5511775612831116, 'loss': 1.060609221458435, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.0772002935409546}
INFO:root:Epoch 30: {'accuracy': 0.5538949370384216, 'loss': 1.0619139671325684, 'val_accuracy': 0.5284552574157715, 'val_loss': 1.0811556577682495}
INFO:root:Epoch 31: {'accuracy': 0.554347813129425, 'loss': 1.0624014139175415, 'val_accuracy': 0.5284552574157715, 'val_loss': 1.0813990831375122}
INFO:root:Epoch 32: {'accuracy': 0.55298912525177, 'loss': 1.0660090446472168, 'val_accuracy': 0.5284552574157715, 'val_loss': 1.0766150951385498}
INFO:root:Epoch 33: {'accuracy': 0.554347813129425, 'loss': 1.0604115724563599, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0765390396118164}
INFO:root:Epoch 34: {'accuracy': 0.5511775612831116, 'loss': 1.0598366260528564, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0768272876739502}
INFO:root:Epoch 35: {'accuracy': 0.5520833134651184, 'loss': 1.0591435432434082, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0748637914657593}
INFO:root:Epoch 36: {'accuracy': 0.5557065010070801, 'loss': 1.061213493347168, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0773680210113525}
INFO:root:Epoch 37: {'accuracy': 0.5561594367027283, 'loss': 1.0614680051803589, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0794378519058228}
INFO:root:Epoch 38: {'accuracy': 0.5561594367027283, 'loss': 1.0593106746673584, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0763460397720337}
INFO:root:Epoch 39: {'accuracy': 0.5557065010070801, 'loss': 1.0605666637420654, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0754717588424683}
INFO:root:Epoch 40: {'accuracy': 0.5557065010070801, 'loss': 1.062226414680481, 'val_accuracy': 0.5284552574157715, 'val_loss': 1.080306887626648}
INFO:root:Epoch 41: {'accuracy': 0.55298912525177, 'loss': 1.0612033605575562, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.079511046409607}
INFO:root:Epoch 42: {'accuracy': 0.5566123127937317, 'loss': 1.0590794086456299, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0795936584472656}
INFO:root:Epoch 1: {'accuracy': 0.5538949370384216, 'loss': 1.0672037601470947, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0689789056777954}
INFO:root:Epoch 2: {'accuracy': 0.55298912525177, 'loss': 1.0637800693511963, 'val_accuracy': 0.5284552574157715, 'val_loss': 1.067583680152893}
INFO:root:Epoch 3: {'accuracy': 0.5534420013427734, 'loss': 1.0649049282073975, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0740011930465698}
INFO:root:Epoch 4: {'accuracy': 0.5511775612831116, 'loss': 1.0691018104553223, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0690670013427734}
INFO:root:Epoch 5: {'accuracy': 0.5525362491607666, 'loss': 1.0645352602005005, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.071347951889038}
INFO:root:Epoch 6: {'accuracy': 0.55027174949646, 'loss': 1.0644534826278687, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.070295810699463}
INFO:root:Epoch 7: {'accuracy': 0.5566123127937317, 'loss': 1.0627695322036743, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.071864128112793}
INFO:root:Epoch 8: {'accuracy': 0.5538949370384216, 'loss': 1.0645484924316406, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0719571113586426}
INFO:root:Epoch 9: {'accuracy': 0.5493659377098083, 'loss': 1.0639804601669312, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0746684074401855}
INFO:root:Epoch 10: {'accuracy': 0.5575181245803833, 'loss': 1.063828706741333, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.069861650466919}
INFO:root:Epoch 11: {'accuracy': 0.554347813129425, 'loss': 1.065700650215149, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0778605937957764}
INFO:root:Epoch 12: {'accuracy': 0.55298912525177, 'loss': 1.0668193101882935, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.0700678825378418}
INFO:root:Epoch 13: {'accuracy': 0.5561594367027283, 'loss': 1.0626436471939087, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0761650800704956}
INFO:root:Epoch 14: {'accuracy': 0.554347813129425, 'loss': 1.0644454956054688, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.0739036798477173}
INFO:root:Epoch 15: {'accuracy': 0.55298912525177, 'loss': 1.0633426904678345, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0723108053207397}
INFO:root:Epoch 16: {'accuracy': 0.5534420013427734, 'loss': 1.0629240274429321, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0674266815185547}
INFO:root:Epoch 17: {'accuracy': 0.5525362491607666, 'loss': 1.064824104309082, 'val_accuracy': 0.5284552574157715, 'val_loss': 1.070908546447754}
INFO:root:Epoch 18: {'accuracy': 0.5511775612831116, 'loss': 1.064140796661377, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.073366403579712}
INFO:root:Epoch 19: {'accuracy': 0.554347813129425, 'loss': 1.0622912645339966, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.081620454788208}
INFO:root:Epoch 20: {'accuracy': 0.554347813129425, 'loss': 1.0676965713500977, 'val_accuracy': 0.5365853905677795, 'val_loss': 1.0749014616012573}
INFO:root:Epoch 21: {'accuracy': 0.554347813129425, 'loss': 1.0659338235855103, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0705983638763428}
INFO:root:Epoch 22: {'accuracy': 0.5511775612831116, 'loss': 1.0643806457519531, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.072178840637207}
INFO:root:Epoch 23: {'accuracy': 0.5557065010070801, 'loss': 1.0618491172790527, 'val_accuracy': 0.5284552574157715, 'val_loss': 1.0728431940078735}
INFO:root:Epoch 24: {'accuracy': 0.5548007488250732, 'loss': 1.063586711883545, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.0796303749084473}
INFO:root:Epoch 25: {'accuracy': 0.551630437374115, 'loss': 1.0632586479187012, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0717027187347412}
INFO:root:Epoch 26: {'accuracy': 0.5538949370384216, 'loss': 1.06483793258667, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0760810375213623}
INFO:root:Epoch 27: {'accuracy': 0.5552536249160767, 'loss': 1.063488483428955, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.076402187347412}
